latitude,longitude,month,day,dayofweek,hour,is_fire,start_time
36.84475,128.87978,9,11,3,16,1,2025-09-11 16:13:00
37.098665,129.315,8,31,6,16,1,2025-08-31 16:34:00
36.8989,129.0017,8,29,4,15,1,2025-08-29 15:26:00
37.1080597,129.1704168,8,28,3,9,1,2025-08-28 09:39:00
37.1080597,129.1704168,8,25,0,11,1,2025-08-25 11:52:00
37.1206472,127.6436694,8,22,4,14,1,2025-08-22 14:41:00
36.0453298,129.3612027,8,18,0,15,1,2025-08-18 15:18:00
37.47083,128.07519,8,12,1,16,1,2025-08-12 16:23:00
37.2877613,126.8482149,8,2,5,15,1,2025-08-02 15:24:00
35.2304694,128.0886083,7,31,3,17,1,2025-07-31 17:53:00
34.89274,128.44784,4,8,1,11,1,2025-04-08 11:52:00
38.0003167,127.28085,4,8,1,11,1,2025-04-08 11:51:00
37.5859288,127.2520468,4,7,0,19,1,2025-04-07 19:28:00
35.1075778,126.3068806,4,7,0,14,1,2025-04-07 14:07:00
37.7212889,128.8286167,4,7,0,13,1,2025-04-07 13:28:00
37.229716,127.2043836,4,7,0,13,1,2025-04-07 13:15:00
35.1884056,127.8630556,4,7,0,12,1,2025-04-07 12:05:00
36.7994333,127.1490194,4,7,0,10,1,2025-04-07 10:58:00
37.17264,128.42293,4,6,6,17,1,2025-04-06 17:42:00
35.9261452,128.5853872,4,6,6,15,1,2025-04-06 15:12:00
38.06499,126.97048,3,22,5,13,1,2025-03-22 13:13:00
37.40015,127.31845,3,22,5,13,1,2025-03-22 13:13:00
35.810187,128.6976912,3,22,5,13,1,2025-03-22 13:06:00
34.7088778,127.0409083,3,22,5,12,1,2025-03-22 12:54:00
34.8234111,127.0306389,3,22,5,12,1,2025-03-22 12:42:00
35.43171,129.27191,3,22,5,12,1,2025-03-22 12:12:00
37.19047,127.69659,3,22,5,11,1,2025-03-22 11:31:00
36.3620128,128.6041629,3,22,5,11,1,2025-03-22 11:24:00
35.95282,128.57512,3,22,5,10,1,2025-03-22 10:08:00
35.2161917,126.7767556,3,22,5,10,1,2025-03-22 10:07:00
37.0730118,127.3576471,2,25,1,14,1,2025-02-25 14:15:00
37.1988241,126.8358047,2,25,1,10,1,2025-02-25 10:38:00
38.0059825,127.1290557,2,24,0,21,1,2025-02-24 21:03:00
36.8595917,127.0567528,2,24,0,16,1,2025-02-24 16:15:00
36.6416139,128.6450778,2,24,0,14,1,2025-02-24 14:00:00
36.22421,128.922749,2,24,0,12,1,2025-02-24 12:56:00
35.70621,129.43113,2,24,0,11,1,2025-02-24 11:52:00
35.1849083,129.0511694,2,23,6,18,1,2025-02-23 18:29:00
35.1849083,129.0511694,2,23,6,17,1,2025-02-23 17:10:00
38.123804,127.068143,2,23,6,14,1,2025-02-23 14:55:00
34.8764556,127.4432667,12,26,3,13,1,2024-12-26 13:41:00
38.4186,128.40179,12,23,0,6,1,2024-12-23 06:48:00
37.65715,127.31731,12,20,4,13,1,2024-12-20 13:32:00
34.7413238,128.0266884,12,19,3,22,1,2024-12-19 22:03:00
37.7862739,126.8508797,12,19,3,13,1,2024-12-19 13:33:00
36.7723806,127.99565,12,19,3,12,1,2024-12-19 12:24:00
37.8900917,127.83705,12,18,2,13,1,2024-12-18 13:52:00
38.0431674,127.1787536,12,18,2,11,1,2024-12-18 11:57:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
35.48884,127.46655,9,29,6,15,1,2024-09-29 15:41:00
37.9262046,127.2423315,11,7,3,12,1,2024-11-07 12:35:00
38.52749,128.40947,11,7,3,11,1,2024-11-07 11:07:00
37.4487281,127.5249739,11,4,0,15,1,2024-11-04 15:46:00
34.79002,128.37513,10,13,6,11,1,2024-10-13 11:02:00
37.38107,126.75541,10,13,6,9,1,2024-10-13 09:07:00
